ISBN,Category
137231563,computer science
201134470,computer science
521431085,computer science
849378788,mathematics
082840125x,mathematics
333291700,mathematics
471277118,mathematics
828402698,mathematics
6780712084362,mathematics
471995789,physics/chemistry
471018686,physics/chemistry
201052296,physics/chemistry
198551304,physics/chemistry
198551290,physics/chemistry
